original_path,size_bytes,decision
a10_rpt_phase1_selected/.venv/bin/activate,2050,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/activate.csh,928,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/activate.fish,2203,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/Activate.ps1,9033,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/f2py,190,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/fonttools,191,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/numpy-config,190,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/pip,247,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/pip3,247,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/pip3.12,247,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/pyftmerge,188,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/pyftsubset,189,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/python,0,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/python3,0,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/python3.12,0,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/bin/ttx,186,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/array.py,8979,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/chunk.py,3279,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/convert.py,26154,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/dechunk.py,7756,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/enum_util.py,1519,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/py.typed,0,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/typecheck.py,10747,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/types.py,247,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/bokeh_renderer.py,13836,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/bokeh_util.py,2804,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/data.py,2586,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/mpl_renderer.py,20092,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/mpl_util.py,3452,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/renderer.py,5118,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/_build_config.py,1847,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__init__.py,118,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__pycache__/bokeh_renderer.cpython-312.pyc,18428,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__pycache__/bokeh_util.cpython-312.pyc,3637,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__pycache__/data.cpython-312.pyc,4178,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__pycache__/mpl_renderer.cpython-312.pyc,26539,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__pycache__/mpl_util.cpython-312.pyc,4962,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__pycache__/renderer.cpython-312.pyc,7230,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__pycache__/_build_config.cpython-312.pyc,2014,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/util/__pycache__/__init__.cpython-312.pyc,326,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/_contourpy.cpython-312-x86_64-linux-gnu.so,954680,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/_contourpy.pyi,7122,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/_version.py,22,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__init__.py,11765,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/array.cpython-312.pyc,12653,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/chunk.cpython-312.pyc,3691,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/convert.cpython-312.pyc,26669,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/dechunk.cpython-312.pyc,8231,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/enum_util.cpython-312.pyc,2094,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/typecheck.cpython-312.pyc,11594,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/types.cpython-312.pyc,481,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/_version.cpython-312.pyc,204,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy/__pycache__/__init__.cpython-312.pyc,12826,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy-1.3.3.dist-info/INSTALLER,4,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy-1.3.3.dist-info/LICENSE,1534,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy-1.3.3.dist-info/METADATA,5461,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy-1.3.3.dist-info/RECORD,2946,excluded: virtual environment/cache/binary dependency
a10_rpt_phase1_selected/.venv/lib/python3.12/site-packages/contourpy-1.3.3.dist-info/WHEEL,138,excluded: virtual environment/cache/binary dependency
