controller,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate
a10_barrier_refined_v03,0.0,0.0,0.125,0.0,0.0,0.0
a10_barrier_v03,0.0,0.0,0.125,0.0,0.0,0.0
a10_v01_refined,0.0,0.0,0.058333333333333334,0.0,0.31666666666666665,0.0
a10_v01,0.0,0.0,0.058333333333333334,0.0,0.31666666666666665,0.0
lqr_like,0.0,0.0,0.20833333333333334,0.0,0.26666666666666666,0.0
a10_refined_v02,0.0,0.0,0.05,0.0,0.35833333333333334,0.0
a10_rpt_v02,0.0,0.0,0.05,0.0,0.35833333333333334,0.0
power_only,0.0,0.0,0.18333333333333332,0.0,0.48333333333333334,0.0
pid_damping,0.0,0.0,0.6833333333333333,0.0,0.0,0.0
cooling_only,0.0,0.0,0.7416666666666667,0.0,0.0,0.0
no_control,0.0,0.0,0.85,0.0,0.0,0.0
