profile,architecture,controller,mean_L,cvar90_L,worst_L,mean_V,cvar90_V,failure_rate,mean_unsafe_duration,mean_final_I,min_final_I,fail_p_rate,fail_a_rate,fail_h_rate,fail_phi_rate,fail_m_rate,fail_I_rate,worst_max_a,worst_max_h,worst_max_p,worst_min_m,cooling_scale,supply_scale,impulse_scale,resource_score
combined_moderate,C1.00_S1.50_I1.00,a10_minimax_v07,3.0552372682719966,3.885669983254931,3.989398631591582,2.939101415716246e-09,2.939101415716246e-09,0.0125,0.00011458333333333181,1.0334966023582401,1.001486433727613,0.0,0.0,0.0,0.0,0.0125,0.0,0.36122285550734434,0.964324592405148,0.7945256253883788,0.1429584719929267,1.0,1.5,1.0,0.5
combined_moderate,C1.00_S1.50_I1.03,a10_minimax_v07,3.0558861225332947,3.8868054969226007,3.9865680023388865,5.335476045359024e-09,5.335476045359024e-09,0.0125,0.00013541666666666563,1.0644530828116043,1.031046114221041,0.0,0.0,0.0,0.0,0.0125,0.0,0.3612394737054081,0.964293576713519,0.7944603883111929,0.1408763881519552,1.0,1.5,1.03,0.5225
combined_moderate,C1.00_S1.50_I1.05,a10_minimax_v07,3.0565761486848486,3.887229178191128,3.9864625210342957,5.048650909598499e-09,5.048650909598499e-09,0.0125,0.00013541666666666563,1.0850749272384828,1.0505498079293887,0.0,0.0,0.0,0.0,0.0125,0.0,0.3612469706698764,0.9641940979242488,0.7944220727686194,0.14103976865075518,1.0,1.5,1.05,0.5375000000000001
combined_moderate,C1.00_S1.60_I1.00,a10_minimax_v07,3.0394322356554335,3.878439891432663,4.0068480928574255,0.0,0.0,0.0,0.0,1.0439845055466548,1.0165587983085498,0.0,0.0,0.0,0.0,0.0,0.0,0.36434598113963207,0.9645306330961557,0.7945258262233609,0.2620411530476263,1.0,1.6,1.0,0.6000000000000001
combined_moderate,C1.10_S1.50_I1.00,a10_minimax_v07,3.084510313572213,3.922073379728551,3.9985128094367552,4.237174559663632e-09,4.237174559663632e-09,0.0125,0.00013541666666666563,1.0339586581055895,1.002219921299797,0.0,0.0,0.0,0.0,0.0125,0.0,0.3632612339563747,0.956982943024754,0.7945952708580793,0.14188626450596806,1.1,1.5,1.0,0.6000000000000001
combined_moderate,C1.00_S1.60_I1.03,a10_minimax_v07,3.0394591211465896,3.877915263779208,4.004289925978975,0.0,0.0,0.0,0.0,1.0753192065602035,1.0472243089563704,0.0,0.0,0.0,0.0,0.0,0.0,0.3643504930230829,0.9645008499232692,0.7944605885516718,0.26173761894431613,1.0,1.6,1.03,0.6225
combined_moderate,C1.10_S1.50_I1.03,a10_minimax_v07,3.0851304242789737,3.9237935342356254,3.9970134715973753,8.425108942859213e-09,8.425108942859213e-09,0.0125,0.00015624999999999876,1.0649176296162217,1.0319385048450913,0.0,0.0,0.0,0.0,0.0125,0.0,0.36327639076003543,0.9569829006450129,0.7945265017045005,0.13915786382385215,1.1,1.5,1.03,0.6225
combined_moderate,C1.00_S1.60_I1.05,a10_minimax_v07,3.039838075856614,3.8781751287686927,4.005004323757482,0.0,0.0,0.0,0.0,1.0961897516807357,1.0675304641590935,0.0,0.0,0.0,0.0,0.0,0.0,0.3643528442500048,0.9644115583341787,0.7944222726053609,0.261424319182935,1.0,1.6,1.05,0.6375000000000002
combined_moderate,C1.10_S1.50_I1.05,a10_minimax_v07,3.085738275266776,3.9243222356236083,3.997458432648911,6.43567785371611e-09,6.43567785371611e-09,0.0125,0.00013541666666666563,1.0855405706620056,1.051509386272088,0.0,0.0,0.0,0.0,0.0125,0.0,0.3632804354893011,0.956912613026379,0.794488585370087,0.14018877448699926,1.1,1.5,1.05,0.6375000000000002
combined_moderate,C1.20_S1.50_I1.00,a10_minimax_v07,3.1163575697696477,3.9634081250196465,4.018062945545549,6.295808970951416e-09,6.295808970951416e-09,0.0125,0.00015624999999999876,1.0344399979051366,1.0010772657148297,0.0,0.0,0.0,0.0,0.0125,0.0,0.36533928497358104,0.9496736637106692,0.7946669593500038,0.14054538421652402,1.2,1.5,1.0,0.7
